entry1	entry2	types	value	name
up:Q96C23	up:P19367	ECrel	cpd:C00267-90	compound
up:Q96C23	up:Q59FD4	ECrel	cpd:C00267-90	compound
up:Q96C23	up:B3KXY9	ECrel	cpd:C00267-90	compound
up:Q96C23	up:A8K7J7	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:P19367	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:Q59FD4	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:B3KXY9	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:A8K7J7	ECrel	cpd:C00267-90	compound
up:Q96C23	up:P52789	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:P52789	ECrel	cpd:C00267-90	compound
up:Q96C23	up:P52790	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:P52790	ECrel	cpd:C00267-90	compound
up:Q96C23	up:Q2TB90	ECrel	cpd:C00267-90	compound
up:Q96C23	up:B3KT70	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:Q2TB90	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:B3KT70	ECrel	cpd:C00267-90	compound
up:Q96C23	up:P35557	ECrel	cpd:C00267-90	compound
up:Q96C23	up:Q53Y25	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:P35557	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:Q53Y25	ECrel	cpd:C00267-90	compound
up:Q96C23	up:P35575	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:P35575	ECrel	cpd:C00267-90	compound
up:Q96C23	up:Q9NQR9	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:Q9NQR9	ECrel	cpd:C00267-90	compound
up:Q96C23	up:Q9BUM1	ECrel	cpd:C00267-90	compound
up:A0A384MDW6	up:Q9BUM1	ECrel	cpd:C00267-90	compound
up:P35557	up:Q96C23	ECrel	cpd:C00221-91	compound
up:P35557	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
up:Q53Y25	up:Q96C23	ECrel	cpd:C00221-91	compound
up:Q53Y25	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
up:P19367	up:Q96C23	ECrel	cpd:C00221-91	compound
up:P19367	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
up:Q59FD4	up:Q96C23	ECrel	cpd:C00221-91	compound
up:Q59FD4	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
up:B3KXY9	up:Q96C23	ECrel	cpd:C00221-91	compound
up:B3KXY9	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
up:A8K7J7	up:Q96C23	ECrel	cpd:C00221-91	compound
up:A8K7J7	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
up:P52789	up:Q96C23	ECrel	cpd:C00221-91	compound
up:P52789	up:A0A384MDW6	ECrel	cpd:C00221-91	compound
